,0
0,15.09
1,15.09
2,15.09
3,15.09
4,15.09
5,15.09
6,15.09
7,15.09
8,15.09
9,15.09
10,15.09
11,15.09
12,15.09
13,15.09
14,15.09
15,15.09
16,15.09
17,15.09
18,15.09
19,15.09
20,15.09
21,15.09
22,15.09
23,15.09
24,15.09
25,15.09
26,15.09
27,15.09
28,15.09
29,15.09
30,15.09
31,15.09
32,15.09
33,15.09
34,15.09
35,15.09
36,15.09
37,15.09
38,15.09
39,15.09
40,15.09
41,15.09
42,15.09
43,15.09
44,15.09
45,15.09
46,15.09
47,15.09
48,15.09
49,15.09
50,15.09
51,15.09
52,15.09
53,15.09
54,15.09
55,15.09
56,15.09
57,15.09
58,15.09
59,15.09
60,15.09
61,15.09
62,15.09
63,15.09
64,15.09
65,15.09
66,15.09
67,15.09
68,15.09
69,15.09
70,15.09
71,15.09
72,15.09
73,15.09
74,15.09
75,15.09
76,15.09
77,15.09
78,15.09
79,15.09
80,15.09
81,15.09
82,15.09
83,15.09
84,15.09
85,15.09
86,15.09
87,15.09
88,15.09
89,15.09
90,15.09
91,15.09
92,15.09
93,15.09
94,15.09
95,15.09
96,15.09
97,15.09
98,15.09
99,15.09
100,15.09
101,15.09
102,15.09
103,15.09
104,15.09
105,15.09
106,15.09
107,15.09
108,15.09
109,15.09
110,15.09
111,15.09
112,15.09
113,15.09
114,15.09
115,15.09
116,15.09
117,15.09
118,15.09
119,15.09
120,15.09
121,15.09
122,15.09
123,15.09
124,15.09
125,15.09
126,15.09
127,15.09
128,15.09
129,15.09
130,15.09
131,15.09
132,15.09
133,15.09
134,15.09
135,15.09
136,15.09
137,15.09
138,15.09
139,15.09
140,15.09
141,15.09
142,15.09
143,15.09
144,15.09
145,15.09
146,15.09
147,15.09
148,15.09
149,15.09
150,15.09
151,15.09
152,15.09
153,15.09
154,15.09
155,15.09
156,15.09
157,15.09
158,15.09
159,15.09
160,15.09
161,15.09
162,15.09
163,15.09
164,15.09
165,15.09
166,15.09
167,15.09
168,15.09
169,15.09
170,15.09
171,15.09
172,15.09
173,15.09
174,15.09
175,15.09
176,15.09
177,15.09
178,15.09
179,15.09
180,15.09
181,15.09
182,15.09
183,15.09
184,15.09
185,15.09
186,15.09
187,15.09
188,15.09
189,15.09
190,15.09
191,15.09
192,15.09
193,15.09
194,15.09
195,15.09
196,15.09
197,15.09
198,15.09
199,15.09
200,15.09
201,15.09
202,15.09
203,15.09
204,15.09
205,15.09
206,15.09
207,15.09
208,15.09
209,15.09
210,15.09
211,15.09
212,15.09
213,15.09
214,15.09
215,15.09
216,15.09
217,15.09
218,15.09
219,15.09
220,15.09
221,15.09
222,15.09
223,15.09
224,15.09
225,15.09
226,15.09
227,15.09
228,15.09
229,15.09
230,15.09
231,15.09
232,15.09
233,15.09
234,15.09
235,15.09
236,15.09
237,15.09
238,15.09
239,15.09
240,15.09
241,15.09
242,15.09
243,15.09
244,15.09
245,15.09
246,15.09
247,15.09
248,15.09
249,15.09
250,15.09
251,15.09
252,15.09
253,15.09
254,15.09
255,15.09
256,15.09
257,15.09
258,15.09
259,15.09
260,15.09
261,15.09
262,15.09
263,15.09
264,15.09
265,15.09
266,15.09
267,15.09
268,15.09
269,15.09
270,15.09
271,15.09
272,15.09
273,15.09
274,15.09
275,15.09
276,15.09
277,15.09
278,15.09
279,15.09
280,15.09
281,15.09
282,15.09
283,15.09
284,15.09
285,15.09
286,15.09
287,15.09
288,15.09
289,15.09
290,15.09
291,15.09
292,15.09
293,15.09
294,15.09
295,15.09
296,15.09
297,15.09
298,15.09
299,15.09
300,15.09
301,15.09
302,15.09
303,15.09
304,15.09
305,15.09
306,15.09
307,15.09
308,15.09
309,15.09
310,15.09
311,15.09
312,15.09
313,15.09
314,15.09
315,15.09
316,15.09
317,15.09
318,15.09
319,15.09
320,15.09
321,15.09
322,15.09
323,15.09
324,15.09
325,15.09
326,15.09
327,15.09
328,15.09
329,15.09
330,15.09
331,15.09
332,15.09
333,15.09
334,15.09
335,15.09
336,15.09
337,15.09
338,15.09
339,15.09
340,15.09
341,15.09
342,15.09
343,15.09
344,15.09
345,15.09
346,15.09
347,15.09
348,15.09
349,15.09
350,15.09
351,15.09
352,15.09
353,15.09
354,15.09
355,15.09
356,15.09
357,15.09
358,15.09
359,15.09
360,15.09
361,15.09
362,15.09
363,15.09
364,15.09
365,15.09
366,15.09
367,15.09
368,15.09
369,15.09
370,15.09
371,15.09
372,15.09
373,15.09
374,15.09
375,15.09
376,15.09
377,15.09
378,15.09
379,15.09
380,15.09
381,15.09
382,15.09
383,15.09
384,15.09
385,15.09
386,15.09
387,15.09
388,15.09
389,15.09
390,15.09
391,15.09
392,15.09
393,15.09
394,15.09
395,15.09
396,15.09
397,15.09
398,15.09
399,15.09
400,15.09
401,15.09
402,15.09
403,15.09
404,15.09
405,15.09
406,15.09
407,15.09
408,15.09
409,15.09
410,15.09
411,15.09
412,15.09
413,15.09
414,15.09
415,15.09
416,15.09
417,15.09
418,15.09
419,15.09
420,15.09
421,15.09
422,15.09
423,15.09
424,15.09
425,15.09
426,15.09
427,15.09
428,15.09
429,15.09
430,15.09
431,15.09
432,15.09
433,15.09
434,15.09
435,15.09
436,15.09
437,15.09
438,15.09
439,15.09
440,15.09
441,15.09
442,15.09
443,15.09
444,15.09
445,15.09
446,15.09
447,15.09
448,15.09
449,15.09
450,15.09
451,15.09
452,15.09
453,15.09
454,15.09
455,15.09
456,15.09
457,15.09
458,15.09
459,15.09
460,15.09
461,15.09
462,15.09
463,15.09
464,15.09
465,15.09
466,15.09
467,15.09
468,15.09
469,15.09
470,15.09
471,15.09
472,15.09
473,15.09
474,15.09
475,15.09
476,15.09
477,15.09
478,15.09
479,15.09
480,15.09
481,15.09
482,15.09
483,15.09
484,15.09
485,15.09
486,15.09
487,15.09
488,15.09
489,15.09
490,15.09
491,15.09
492,15.09
493,15.09
494,15.09
495,15.09
496,15.09
497,15.09
498,15.09
499,15.09
500,15.09
501,15.09
502,15.09
503,15.09
504,15.09
505,15.09
506,15.09
507,15.09
508,15.09
509,15.09
510,15.09
511,15.09
512,15.09
513,15.09
514,15.09
515,15.09
516,15.09
517,15.09
518,15.09
519,15.09
520,15.09
521,15.09
522,15.09
523,15.09
524,15.09
525,15.09
526,15.09
527,15.09
528,15.09
529,15.09
530,15.09
531,15.09
532,15.09
533,15.09
534,15.09
535,15.09
536,15.09
537,15.09
538,15.09
539,15.09
540,15.09
541,15.09
542,15.09
543,15.09
544,15.09
545,15.09
546,15.09
547,15.09
548,15.09
549,15.09
550,15.09
551,15.09
552,15.09
553,15.09
554,15.09
555,15.09
556,15.09
557,15.09
558,15.09
559,15.09
560,15.09
561,15.09
562,15.09
563,15.09
564,15.09
565,15.09
566,15.09
567,15.09
568,15.09
569,15.09
570,15.09
571,15.09
572,15.09
573,15.09
574,15.09
575,15.09
576,15.09
577,15.09
578,15.09
579,15.09
580,15.09
581,15.09
582,15.09
583,15.09
584,15.09
585,15.09
586,15.09
587,15.09
588,15.09
589,15.09
590,15.09
591,15.09
592,15.09
593,15.09
594,15.09
595,15.09
596,15.09
597,15.09
598,15.09
599,15.09
600,15.09
601,15.09
602,15.09
603,15.09
604,15.09
605,15.09
606,15.09
607,15.09
608,15.09
609,15.09
610,15.09
611,15.09
612,15.09
613,15.09
614,15.09
615,15.09
616,15.09
617,15.09
618,15.09
619,15.09
620,15.09
621,15.09
622,15.09
623,15.09
624,15.09
625,15.09
626,15.09
627,15.09
628,15.09
629,15.09
630,15.09
631,15.09
632,15.09
633,15.09
634,15.09
635,15.09
636,15.09
637,15.09
638,15.09
639,15.09
640,15.09
641,15.09
642,15.09
643,15.09
644,15.09
645,15.09
646,15.09
647,15.09
648,15.09
649,15.09
650,15.09
651,15.09
652,15.09
653,15.09
654,15.09
655,15.09
656,15.09
657,15.09
658,15.09
659,15.09
660,15.09
661,15.09
662,15.09
663,15.09
664,15.09
665,15.09
666,15.09
667,15.09
668,15.09
669,15.09
670,15.09
671,15.09
672,15.09
673,15.09
674,15.09
675,15.09
676,15.09
677,15.09
678,15.09
679,15.09
680,15.09
681,15.09
682,15.09
683,15.09
684,15.09
685,15.09
686,15.09
687,15.09
688,15.09
689,15.09
690,15.09
691,15.09
692,15.09
693,15.09
694,15.09
695,15.09
696,15.09
697,15.09
698,15.09
699,15.09
700,15.09
701,15.09
702,15.09
703,15.09
704,15.09
705,15.09
706,15.09
707,15.09
708,15.09
709,15.09
710,15.09
711,15.09
712,15.09
713,15.09
714,15.09
715,15.09
716,15.09
