,0
0,49.14
1,49.14
2,49.14
3,49.14
4,49.14
5,49.14
6,49.14
7,49.14
8,49.14
9,49.14
10,49.14
11,49.14
12,49.14
13,49.14
14,49.14
15,49.14
16,49.14
17,49.14
18,49.14
19,49.14
20,49.14
21,49.14
22,49.14
23,49.14
24,49.14
25,49.14
26,49.14
27,49.14
28,49.14
29,49.14
30,49.14
31,49.14
32,49.14
33,49.14
34,49.14
35,49.14
36,49.14
37,49.14
38,49.14
39,49.14
40,49.14
41,49.14
42,49.14
43,49.14
44,49.14
45,49.14
46,49.14
47,49.14
48,49.14
49,49.14
50,49.14
51,49.14
52,49.14
53,49.14
54,49.14
55,49.14
56,49.14
57,49.14
58,49.14
59,49.14
60,49.14
61,49.14
62,49.14
63,49.14
64,49.14
65,49.14
66,49.14
67,49.14
68,49.14
69,49.14
70,49.14
71,49.14
72,49.14
73,49.14
74,49.14
75,49.14
76,49.14
77,49.14
78,49.14
79,49.14
80,49.14
81,49.14
82,49.14
83,49.14
84,49.14
85,49.14
86,49.14
87,49.14
88,49.14
89,49.14
90,49.14
91,49.14
92,49.14
93,49.14
94,49.14
95,49.14
96,49.14
97,49.14
98,49.14
99,49.14
100,49.14
101,49.14
102,49.14
103,49.14
104,49.14
105,49.14
106,49.14
107,49.14
108,49.14
109,49.14
110,49.14
111,49.14
112,49.14
113,49.14
114,49.14
115,49.14
116,49.14
117,49.14
118,49.14
119,49.14
120,49.14
121,49.14
122,49.14
123,49.14
124,49.14
125,49.14
126,49.14
127,49.14
128,49.14
129,49.14
130,49.14
131,49.14
132,49.14
133,49.14
134,49.14
135,49.14
136,49.14
137,49.14
138,49.14
139,49.14
140,49.14
141,49.14
142,49.14
143,49.14
144,49.14
145,49.14
146,49.14
147,49.14
148,49.14
149,49.14
150,49.14
151,49.14
152,49.14
153,49.14
154,49.14
155,49.14
156,49.14
157,49.14
158,49.14
159,49.14
160,49.14
161,49.14
162,49.14
163,49.14
164,49.14
165,49.14
166,49.14
167,49.14
168,49.14
169,49.14
170,49.14
171,49.14
172,49.14
173,49.14
174,49.14
175,49.14
176,49.14
177,49.14
178,49.14
179,49.14
180,49.14
181,49.14
182,49.14
183,49.14
184,49.14
185,49.14
186,49.14
187,49.14
188,49.14
189,49.14
190,49.14
191,49.14
192,49.14
193,49.14
194,49.14
195,49.14
196,49.14
197,49.14
198,49.14
199,49.14
200,49.14
201,49.14
202,49.14
203,49.14
204,49.14
205,49.14
206,49.14
207,49.14
208,49.14
209,49.14
210,49.14
211,49.14
212,49.14
213,49.14
214,49.14
215,49.14
216,49.14
217,49.14
218,49.14
219,49.14
220,49.14
221,49.14
222,49.14
223,49.14
224,49.14
225,49.14
226,49.14
227,49.14
228,49.14
229,49.14
230,49.14
231,49.14
232,49.14
233,49.14
234,49.14
235,49.14
236,49.14
237,49.14
238,49.14
239,49.14
240,49.14
241,49.14
242,49.14
243,49.14
244,49.14
245,49.14
246,49.14
247,49.14
248,49.14
249,49.14
250,49.14
251,49.14
252,49.14
253,49.14
254,49.14
255,49.14
256,49.14
257,49.14
258,49.14
259,49.14
260,49.14
261,49.14
262,49.14
263,49.14
264,49.14
265,49.14
266,49.14
267,49.14
268,49.14
269,49.14
270,49.14
271,49.14
272,49.14
273,49.14
274,49.14
275,49.14
276,49.14
277,49.14
278,49.14
279,49.14
280,49.14
281,49.14
282,49.14
283,49.14
284,49.14
285,49.14
286,49.14
287,49.14
288,49.14
289,49.14
290,49.14
291,49.14
292,49.14
293,49.14
294,49.14
295,49.14
296,49.14
297,49.14
298,49.14
299,49.14
300,49.14
301,49.14
302,49.14
303,49.14
304,49.14
305,49.14
306,49.14
307,49.14
308,49.14
309,49.14
310,49.14
311,49.14
312,49.14
313,49.14
314,49.14
315,49.14
316,49.14
317,49.14
318,49.14
319,49.14
320,49.14
321,49.14
322,49.14
323,49.14
324,49.14
325,49.14
326,49.14
327,49.14
328,49.14
329,49.14
330,49.14
331,49.14
332,49.14
333,49.14
334,49.14
335,49.14
336,49.14
337,49.14
338,49.14
339,49.14
340,49.14
341,49.14
342,49.14
343,49.14
344,49.14
345,49.14
346,49.14
347,49.14
348,49.14
349,49.14
350,49.14
351,49.14
352,49.14
353,49.14
354,49.14
355,49.14
356,49.14
357,49.14
358,49.14
359,49.14
360,49.14
361,49.14
362,49.14
363,49.14
364,49.14
365,49.14
366,49.14
367,49.14
368,49.14
369,49.14
370,49.14
371,49.14
372,49.14
373,49.14
374,49.14
375,49.14
376,49.14
377,49.14
378,49.14
379,49.14
380,49.14
381,49.14
382,49.14
383,49.14
384,49.14
385,49.14
386,49.14
387,49.14
388,49.14
389,49.14
390,49.14
391,49.14
392,49.14
393,49.14
394,49.14
395,49.14
396,49.14
397,49.14
398,49.14
399,49.14
400,49.14
401,49.14
402,49.14
403,49.14
404,49.14
405,49.14
406,49.14
407,49.14
408,49.14
409,49.14
410,49.14
411,49.14
412,49.14
413,49.14
414,49.14
415,49.14
416,49.14
417,49.14
418,49.14
419,49.14
420,49.14
421,49.14
422,49.14
423,49.14
424,49.14
425,49.14
426,49.14
427,49.14
428,49.14
429,49.14
430,49.14
431,49.14
432,49.14
433,49.14
434,49.14
435,49.14
436,49.14
437,49.14
438,49.14
439,49.14
440,49.14
441,49.14
442,49.14
443,49.14
444,49.14
445,49.14
446,49.14
447,49.14
448,49.14
449,49.14
450,49.14
451,49.14
452,49.14
453,49.14
454,49.14
455,49.14
456,49.14
457,49.14
458,49.14
459,49.14
460,49.14
461,49.14
462,49.14
463,49.14
464,49.14
465,49.14
466,49.14
467,49.14
468,49.14
469,49.14
470,49.14
471,49.14
472,49.14
473,49.14
474,49.14
475,49.14
476,49.14
477,49.14
478,49.14
479,49.14
480,49.14
481,49.14
482,49.14
483,49.14
484,49.14
485,49.14
486,49.14
487,49.14
488,49.14
489,49.14
490,49.14
491,49.14
492,49.14
493,49.14
494,49.14
495,49.14
496,49.14
497,49.14
498,49.14
499,49.14
500,49.14
501,49.14
502,49.14
503,49.14
504,49.14
505,49.14
506,49.14
507,49.14
508,49.14
509,49.14
510,49.14
511,49.14
512,49.14
513,49.14
514,49.14
515,49.14
516,49.14
517,49.14
518,49.14
519,49.14
520,49.14
521,49.14
522,49.14
523,49.14
524,49.14
525,49.14
526,49.14
527,49.14
528,49.14
529,49.14
530,49.14
531,49.14
532,49.14
533,49.14
534,49.14
535,49.14
536,49.14
537,49.14
538,49.14
539,49.14
540,49.14
541,49.14
542,49.14
543,49.14
544,49.14
545,49.14
546,49.14
547,49.14
548,49.14
549,49.14
550,49.14
551,49.14
552,49.14
553,49.14
554,49.14
555,49.14
556,49.14
557,49.14
558,49.14
559,49.14
560,49.14
561,49.14
562,49.14
563,49.14
564,49.14
565,49.14
566,49.14
567,49.14
568,49.14
569,49.14
570,49.14
571,49.14
572,49.14
573,49.14
574,49.14
575,49.14
576,49.14
577,49.14
578,49.14
579,49.14
580,49.14
581,49.14
582,49.14
583,49.14
584,49.14
585,49.14
586,49.14
587,49.14
588,49.14
589,49.14
590,49.14
591,49.14
592,49.14
593,49.14
594,49.14
595,49.14
596,49.14
597,49.14
598,49.14
599,49.14
600,49.14
601,49.14
602,49.14
603,49.14
604,49.14
605,49.14
606,49.14
607,49.14
608,49.14
609,49.14
610,49.14
611,49.14
612,49.14
613,49.14
614,49.14
615,49.14
616,49.14
617,49.14
618,49.14
619,49.14
620,49.14
621,49.14
622,49.14
623,49.14
624,49.14
625,49.14
626,49.14
627,49.14
628,49.14
629,49.14
630,49.14
631,49.14
632,49.14
633,49.14
634,49.14
635,49.14
636,49.14
637,49.14
638,49.14
639,49.14
640,49.14
641,49.14
642,49.14
643,49.14
644,49.14
645,49.14
646,49.14
647,49.14
648,49.14
649,49.14
650,49.14
651,49.14
652,49.14
653,49.14
654,49.14
655,49.14
656,49.14
657,49.14
658,49.14
659,49.14
660,49.14
661,49.14
662,49.14
663,49.14
664,49.14
665,49.14
666,49.14
667,49.14
668,49.14
669,49.14
670,49.14
671,49.14
672,49.14
673,49.14
674,49.14
675,49.14
676,49.14
677,49.14
678,49.14
679,49.14
680,49.14
681,49.14
682,49.14
683,49.14
684,49.14
685,49.14
686,49.14
687,49.14
688,49.14
689,49.14
690,49.14
691,49.14
692,49.14
693,49.14
694,49.14
695,49.14
696,49.14
697,49.14
698,49.14
699,49.14
700,49.14
701,49.14
702,49.14
703,49.14
704,49.14
705,49.14
706,49.14
707,49.14
708,49.14
709,49.14
710,49.14
711,49.14
712,49.14
713,49.14
714,49.14
715,49.14
716,49.14
717,49.14
718,49.14
719,49.14
720,49.14
721,49.14
722,49.14
723,49.14
724,49.14
725,49.14
726,49.14
727,49.14
728,49.14
729,49.14
730,49.14
731,49.14
732,49.14
733,49.14
734,49.14
735,49.14
736,49.14
737,49.14
738,49.14
739,49.14
740,49.14
741,49.14
742,49.14
743,49.14
744,49.14
745,49.14
746,49.14
747,49.14
748,49.14
749,49.14
750,49.14
751,49.14
752,49.14
753,49.14
754,49.14
755,49.14
756,49.14
757,49.14
758,49.14
759,49.14
760,49.14
761,49.14
762,49.14
763,49.14
764,49.14
765,49.14
766,49.14
767,49.14
768,49.14
769,49.14
770,49.14
771,49.14
772,49.14
773,49.14
774,49.14
775,49.14
776,49.14
777,49.14
778,49.14
779,49.14
780,49.14
781,49.14
782,49.14
783,49.14
784,49.14
785,49.14
786,49.14
787,49.14
788,49.14
789,49.14
790,49.14
791,49.14
792,49.14
793,49.14
794,49.14
795,49.14
796,49.14
797,49.14
798,49.14
799,49.14
800,49.14
801,49.14
802,49.14
803,49.14
804,49.14
805,49.14
806,49.14
807,49.14
808,49.14
809,49.14
810,49.14
811,49.14
812,49.14
813,49.14
814,49.14
815,49.14
816,49.14
817,49.14
818,49.14
819,49.14
820,49.14
821,49.14
822,49.14
823,49.14
824,49.14
825,49.14
826,49.14
827,49.14
828,49.14
829,49.14
830,49.14
831,49.14
832,49.14
833,49.14
834,49.14
835,49.14
836,49.14
837,49.14
838,49.14
839,49.14
840,49.14
841,49.14
842,49.14
843,49.14
844,49.14
845,49.14
846,49.14
847,49.14
848,49.14
849,49.14
850,49.14
851,49.14
852,49.14
853,49.14
854,49.14
855,49.14
856,49.14
857,49.14
858,49.14
859,49.14
860,49.14
861,49.14
862,49.14
863,49.14
864,49.14
865,49.14
866,49.14
867,49.14
868,49.14
869,49.14
870,49.14
871,49.14
872,49.14
873,49.14
874,49.14
875,49.14
876,49.14
877,49.14
878,49.14
879,49.14
880,49.14
881,49.14
882,49.14
883,49.14
884,49.14
885,49.14
886,49.14
887,49.14
888,49.14
889,49.14
890,49.14
891,49.14
892,49.14
893,49.14
894,49.14
895,49.14
896,49.14
897,49.14
898,49.14
899,49.14
900,49.14
901,49.14
902,49.14
903,49.14
904,49.14
905,49.14
906,49.14
907,49.14
908,49.14
909,49.14
910,49.14
911,49.14
912,49.14
913,49.14
914,49.14
915,49.14
916,49.14
917,49.14
918,49.14
919,49.14
920,49.14
921,49.14
922,49.14
923,49.14
924,49.14
925,49.14
926,49.14
927,49.14
928,49.14
929,49.14
930,49.14
931,49.14
932,49.14
933,49.14
934,49.14
935,49.14
936,49.14
937,49.14
938,49.14
939,49.14
940,49.14
941,49.14
942,49.14
943,49.14
944,49.14
945,49.14
946,49.14
947,49.14
948,49.14
949,49.14
950,49.14
951,49.14
952,49.14
953,49.14
954,49.14
955,49.14
956,49.14
957,49.14
958,49.14
959,49.14
960,49.14
961,49.14
962,49.14
963,49.14
964,49.14
965,49.14
966,49.14
967,49.14
968,49.14
969,49.14
970,49.14
971,49.14
972,49.14
973,49.14
974,49.14
975,49.14
976,49.14
977,49.14
978,49.14
979,49.14
980,49.14
981,49.14
982,49.14
983,49.14
984,49.14
985,49.14
986,49.14
987,49.14
988,49.14
989,49.14
990,49.14
991,49.14
992,49.14
993,49.14
994,49.14
995,49.14
996,49.14
997,49.14
998,49.14
999,49.14
1000,49.14
1001,49.14
1002,49.14
1003,49.14
1004,49.14
1005,49.14
1006,49.14
1007,49.14
1008,49.14
1009,49.14
1010,49.14
1011,49.14
1012,49.14
1013,49.14
1014,49.14
1015,49.14
1016,49.14
1017,49.14
1018,49.14
1019,49.14
1020,49.14
1021,49.14
1022,49.14
1023,49.14
1024,49.14
1025,49.14
1026,49.14
1027,49.14
1028,49.14
1029,49.14
1030,49.14
1031,49.14
1032,49.14
1033,49.14
1034,49.14
1035,49.14
1036,49.14
1037,49.14
1038,49.14
1039,49.14
1040,49.14
1041,49.14
1042,49.14
1043,49.14
1044,49.14
1045,49.14
1046,49.14
1047,49.14
1048,49.14
1049,49.14
1050,49.14
1051,49.14
1052,49.14
1053,49.14
1054,49.14
1055,49.14
1056,49.14
1057,49.14
1058,49.14
1059,49.14
1060,49.14
1061,49.14
1062,49.14
1063,49.14
1064,49.14
1065,49.14
1066,49.14
1067,49.14
1068,49.14
1069,49.14
1070,49.14
1071,49.14
1072,49.14
1073,49.14
1074,49.14
1075,49.14
1076,49.14
1077,49.14
1078,49.14
1079,49.14
1080,49.14
1081,49.14
1082,49.14
1083,49.14
1084,49.14
1085,49.14
1086,49.14
1087,49.14
1088,49.14
1089,49.14
1090,49.14
1091,49.14
1092,49.14
1093,49.14
1094,49.14
1095,49.14
1096,49.14
1097,49.14
1098,49.14
1099,49.14
1100,49.14
1101,49.14
1102,49.14
1103,49.14
1104,49.14
1105,49.14
1106,49.14
1107,49.14
1108,49.14
1109,49.14
1110,49.14
1111,49.14
1112,49.14
1113,49.14
1114,49.14
1115,49.14
1116,49.14
1117,49.14
1118,49.14
1119,49.14
1120,49.14
1121,49.14
1122,49.14
1123,49.14
1124,49.14
1125,49.14
1126,49.14
1127,49.14
1128,49.14
1129,49.14
1130,49.14
1131,49.14
1132,49.14
1133,49.14
1134,49.14
1135,49.14
1136,49.14
1137,49.14
1138,49.14
1139,49.14
1140,49.14
1141,49.14
1142,49.14
1143,49.14
1144,49.14
1145,49.14
1146,49.14
1147,49.14
1148,49.14
1149,49.14
1150,49.14
1151,49.14
1152,49.14
1153,49.14
1154,49.14
1155,49.14
1156,49.14
1157,49.14
1158,49.14
1159,49.14
1160,49.14
1161,49.14
1162,49.14
1163,49.14
1164,49.14
1165,49.14
1166,49.14
1167,49.14
1168,49.14
1169,49.14
1170,49.14
1171,49.14
1172,49.14
1173,49.14
1174,49.14
1175,49.14
1176,49.14
1177,49.14
1178,49.14
1179,49.14
1180,49.14
1181,49.14
1182,49.14
1183,49.14
1184,49.14
1185,49.14
1186,49.14
1187,49.14
1188,49.14
1189,49.14
1190,49.14
1191,49.14
1192,49.14
1193,49.14
1194,49.14
1195,49.14
1196,49.14
1197,49.14
1198,49.14
1199,49.14
1200,49.14
1201,49.14
1202,49.14
1203,49.14
1204,49.14
1205,49.14
1206,49.14
1207,49.14
1208,49.14
1209,49.14
1210,49.14
1211,49.14
1212,49.14
1213,49.14
1214,49.14
1215,49.14
1216,49.14
1217,49.14
1218,49.14
1219,49.14
1220,49.14
1221,49.14
1222,49.14
1223,49.14
1224,49.14
1225,49.14
1226,49.14
1227,49.14
1228,49.14
1229,49.14
1230,49.14
1231,49.14
1232,49.14
1233,49.14
1234,49.14
1235,49.14
1236,49.14
1237,49.14
1238,49.14
1239,49.14
1240,49.14
1241,49.14
1242,49.14
1243,49.14
1244,49.14
1245,49.14
1246,49.14
1247,49.14
1248,49.14
1249,49.14
1250,49.14
1251,49.14
1252,49.14
1253,49.14
1254,49.14
1255,49.14
1256,49.14
1257,49.14
1258,49.14
1259,49.14
