Timestamp,752-CO2,752-Hum,752-Tem,746-CO2,746-Hum,746-Tem,754-CO2,754-Hum,754-Tem,726-CO2,726-Hum,726-Tem,724-CO2,724-Hum,724-Tem,719-CO2,719-Hum,719-Tem,721-CO2,721-Hum,721-Tem,734-CO2,734-Hum,734-Tem,722-CO2,722-Hum,722-Tem,723-CO2,723-Hum,723-Tem,717-CO2,717-Hum,717-Tem,776-CO2,776-Hum,776-Tem,748-CO2,748-Hum,748-Tem
2013-08-23 21:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,50.04260869565217,24.257217391304348,,,
2013-08-23 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.73383333333334,24.303833333333333,,,
2013-08-23 21:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.519495798319326,24.366218487394956,,,
2013-08-23 21:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.40663865546219,24.416302521008404,,,
2013-08-23 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.29558333333333,24.461583333333333,,,
2013-08-23 22:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.19391666666666,24.50766666666667,,,
2013-08-23 22:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.107,24.538083333333336,,,
2013-08-23 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.04563025210084,24.560252100840337,,,
2013-08-23 22:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,49.001999999999995,24.579583333333332,,,
2013-08-23 22:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,48.99875,24.58583333333333,,,
2013-08-23 23:00:00,433.8333333333333,43.14035087719298,25.831929824561406,642.9821428571429,52.87517857142857,23.046071428571427,425.8125,48.33446428571428,24.297500000000003,469.4107142857143,48.14053571428571,24.55125,215.98275862068965,50.29827586206897,23.736551724137932,441.3859649122807,51.6361403508772,23.430701754385964,350.359649122807,52.00175438596491,22.29824561403509,387.25,47.472068965517245,24.811034482758622,368.20535714285717,48.94375,23.114285714285717,422.1607142857143,55.981607142857136,22.03017857142857,412.14912280701753,51.211052631578944,23.34140350877193,657.8859649122807,48.917543859649115,24.612280701754386,516.8275862068965,50.374482758620694,23.231896551724137
2013-08-23 23:10:00,442.8,43.27966666666667,25.778416666666665,659.425,53.03666666666667,22.985416666666666,432.0083333333333,48.427749999999996,24.26741666666667,465.69166666666666,48.157666666666664,24.537416666666665,220.66806722689077,50.32226890756303,23.738235294117647,449.475,51.67466666666667,23.437583333333336,354.35833333333335,51.99666666666667,22.31658333333333,401.54583333333335,47.48466666666666,24.878416666666666,376.28333333333336,48.971999999999994,23.114083333333333,434.7625,56.02441666666666,22.042916666666667,417.0875,51.2125,23.3595,671.4958333333333,48.9165,24.63116666666667,527.2291666666666,50.444250000000004,23.226499999999998
2013-08-23 23:20:00,453.0416666666667,43.42666666666666,25.72641666666667,671.9364406779661,53.21457627118644,22.90491525423729,446.8,48.54008333333333,24.22283333333333,461.06666666666666,48.17325,24.51383333333333,228.875,50.35208333333333,23.741249999999997,457.75,51.6965,23.45025,367.225,51.98041666666666,22.338666666666665,398.0208333333333,47.21841666666667,24.981916666666667,385.2416666666667,48.9985,23.115166666666667,445.98333333333335,56.04833333333333,22.055,425.2375,51.205749999999995,23.38225,672.6166666666667,48.90025,24.636000000000003,539.6,50.52616666666666,23.21258333333333
2013-08-23 23:30:00,462.70416666666665,43.577666666666666,25.681583333333332,686.2291666666666,53.381499999999996,22.861083333333333,451.39166666666665,48.668,24.178833333333333,465.4583333333333,48.18425,24.500833333333333,232.51666666666668,50.39066666666667,23.74175,468.075,51.707,23.461833333333335,375.6125,51.96425,22.356,401.20416666666665,46.99508333333333,25.054666666666666,394.27916666666664,49.026250000000005,23.123416666666667,450.575,56.09016666666666,22.0655,431.18333333333334,51.18566666666666,23.40491666666667,658.1041666666666,48.888999999999996,24.623833333333334,552.9833333333333,50.608,23.199749999999998
2013-08-23 23:40:00,467.87916666666666,43.69733333333333,25.63675,679.1666666666666,53.4755,22.830166666666667,459.07916666666665,48.78066666666667,24.136083333333332,464.89166666666665,48.19025,24.48758333333333,237.6125,50.410250000000005,23.74683333333333,471.5541666666667,51.706,23.4725,382.40416666666664,51.9395,22.379833333333334,397.675,46.81916666666667,25.11116666666667,398.81666666666666,49.03,23.13,453.28333333333336,56.07983333333333,22.06475,435.175,51.158,23.422416666666667,644.2041666666667,48.85375,24.617250000000002,553.3208333333333,50.656,23.19408333333333
2013-08-23 23:50:00,456.675,43.767500000000005,25.59325,661.6833333333333,53.4705,22.819583333333334,453.55,48.8785,24.080083333333334,456.25,48.18575,24.4735,234.81666666666666,50.40175,23.748083333333334,465.48333333333335,51.642250000000004,23.488583333333334,377.0875,51.8805,22.400416666666665,389.59166666666664,46.599333333333334,25.16475,395.30833333333334,49.023,23.133750000000003,439.5875,56.00675,22.072916666666668,434.34166666666664,51.092,23.44325,628.1041666666666,48.77808333333334,24.618916666666667,542.1166666666667,50.6695,23.181083333333333
