Timestamp,552-CO2,552-Hum,552-Tem,554-CO2,554-Hum,554-Tem,556-CO2,556-Hum,556-Tem,510-CO2,510-Hum,510-Tem,511-CO2,511-Hum,511-Tem,513-CO2,513-Hum,513-Tem,564-CO2,564-Hum,564-Tem,558-CO2,558-Hum,558-Tem,562-CO2,562-Hum,562-Tem
2013-08-23 23:00:00,397.57758620689657,53.12586206896552,22.82,488.9736842105263,49.64192982456141,24.117368421052632,560.359649122807,49.08526315789474,24.24947368421053,405.780701754386,52.55035087719299,23.494736842105265,400.37719298245617,52.800526315789476,22.619649122807015,362.0948275862069,53.87775862068966,22.565344827586205,427.5263157894737,49.92438596491228,24.08298245614035,437.55172413793105,53.501724137931035,23.11931034482759,9.0,54.96684210526316,22.36140350877193
2013-08-23 23:10:00,404.9916666666667,53.14475,22.835416666666667,497.30833333333334,49.71475,24.09466666666667,586.9125,49.07141666666667,24.30325,415.92083333333335,52.3885,23.59466666666667,416.15833333333336,52.913999999999994,22.614166666666666,366.8375,53.936166666666665,22.573416666666667,458.1958333333333,49.96158333333333,24.083000000000002,446.20416666666665,53.509,23.130916666666668,9.0,55.00333333333333,22.357083333333332
2013-08-23 23:20:00,415.85833333333335,53.1785,22.838583333333336,506.1875,49.808416666666666,24.063499999999998,620.1833333333333,49.04633333333334,24.347416666666668,427.4875,52.040333333333336,23.77808333333333,429.5208333333333,52.985,22.62225,375.8375,53.95925,22.585916666666666,460.7708333333333,49.95858333333333,24.091666666666665,457.6166666666667,53.54525,23.12066666666667,9.0,55.05491666666667,22.34125
2013-08-23 23:30:00,422.80833333333334,53.213499999999996,22.841416666666664,507.74583333333334,49.907583333333335,24.034916666666668,622.3541666666666,49.05158333333334,24.375166666666665,411.3541666666667,51.43833333333334,24.082,434.79583333333335,53.042,22.633750000000003,378.6,54.01075,22.592166666666667,480.07916666666665,50.04725,24.08,468.59166666666664,53.61991666666667,23.10983333333333,9.0,55.142,22.326416666666667
2013-08-23 23:40:00,430.20416666666665,53.233,22.846999999999998,517.3666666666667,49.996,24.00375,625.8416666666667,49.068583333333336,24.375999999999998,404.79583333333335,50.82058333333334,24.311249999999998,434.06666666666666,53.054416666666675,22.645833333333332,391.09583333333336,54.01575,22.59825,445.30833333333334,50.0205,24.062,469.74583333333334,53.67225,23.102,9.0,55.18125,22.3295
2013-08-23 23:50:00,425.45416666666665,53.19825,22.84875,502.62916666666666,50.01325,23.976499999999998,583.7875,49.044,24.30725,382.72083333333336,50.19391666666666,24.517166666666665,422.84583333333336,52.9945,22.664333333333335,389.7625,53.966499999999996,22.600416666666668,413.6625,49.942166666666665,24.0385,463.18333333333334,53.66166666666666,23.099833333333333,9.0,55.17275,22.318916666666667
2013-08-24 00:00:00,424.2625,53.231,22.848583333333334,503.68333333333334,50.11258333333333,23.949333333333335,554.4333333333333,49.094833333333334,24.236333333333334,380.75416666666666,49.71125,24.723833333333335,424.8833333333333,52.982,22.69816666666667,385.7416666666667,54.004749999999994,22.607000000000003,412.2125,49.99575,24.017583333333334,464.525,53.7145,23.1,9.0,55.2225,22.32175
2013-08-24 00:10:00,422.6625,53.252250000000004,22.84875,502.5208333333333,50.188916666666664,23.92441666666667,532.9916666666667,49.156,24.171833333333332,384.4291666666667,49.13258333333333,24.952749999999998,425.15833333333336,52.92891666666666,22.745916666666666,389.09583333333336,54.00025,22.621583333333334,437.48333333333335,50.082,24.01625,461.15416666666664,53.74524999999999,23.10125,9.0,55.25266666666666,22.319166666666668
2013-08-24 00:20:00,419.68333333333334,53.2555,22.85141666666667,497.12083333333334,50.24633333333333,23.909333333333333,517.8958333333334,49.21883333333333,24.120583333333332,383.09583333333336,48.54491666666667,25.153833333333335,421.9291666666667,52.78958333333333,22.81066666666667,391.825,53.96775,22.63308333333333,428.4291666666667,50.07516666666667,24.023666666666667,453.975,53.75625,23.10666666666667,9.0,55.30041666666667,22.34241666666667
2013-08-24 00:30:00,415.5208333333333,53.24875,22.847083333333334,490.64166666666665,50.259750000000004,23.888166666666667,504.51666666666665,49.273,24.06608333333333,383.475,47.95225,25.31791666666667,416.0375,52.579166666666666,22.886166666666668,385.14166666666665,53.90116666666667,22.654,418.3541666666667,50.058083333333336,24.014083333333335,450.2583333333333,53.72275,23.11125,9.0,55.254583333333336,22.433666666666667
2013-08-24 00:40:00,411.44166666666666,53.2365,22.845000000000002,483.90416666666664,50.25675,23.874916666666664,497.02916666666664,49.30433333333333,24.027333333333335,376.6,47.499,25.441750000000003,411.00416666666666,52.32,22.97375,385.22083333333336,53.813,22.676166666666667,399.8666666666667,50.08241666666667,24.01125,446.9125,53.7125,23.10666666666667,9.0,55.07983333333333,22.51975
2013-08-24 00:50:00,406.12916666666666,53.21775,22.839083333333335,485.35833333333335,50.279250000000005,23.849833333333333,489.9875,49.342666666666666,24.001916666666666,375.925,47.096583333333335,25.55675,405.7916666666667,52.06041666666667,23.081416666666666,381.71666666666664,53.736666666666665,22.70475,390.97083333333336,49.99275,24.014583333333334,442.4375,53.693666666666665,23.113916666666668,9.0,54.8915,22.580166666666667
2013-08-24 01:00:00,404.4166666666667,53.1735,22.840833333333332,484.51666666666665,50.3095,23.831166666666665,479.4916666666667,49.34066666666667,23.97641666666667,372.5083333333333,46.66175,25.6645,398.62916666666666,51.714333333333336,23.190416666666668,375.03333333333336,53.57775,22.750166666666665,403.95,50.003,24.0135,436.5125,53.63,23.11925,9.0,54.7205,22.607083333333332
