Timestamp,621-CO2,621-Hum,621-Tem,644-CO2,644-Hum,644-Tem,640-CO2,640-Hum,640-Tem,668-CO2,668-Hum,668-Tem,666-CO2,666-Hum,666-Tem,664-CO2,664-Hum,664-Tem,648-CO2,648-Hum,648-Tem,621C-CO2,621C-Hum,621C-Tem,656A-CO2,656A-Hum,656A-Tem,656B-CO2,656B-Hum,656B-Tem,621A-CO2,621A-Hum,621A-Tem,621E-CO2,621E-Hum,621E-Tem,621D-CO2,621D-Hum,621D-Tem
2013-08-23 23:00:00,500.8888888888889,49.1,25.586666666666662,480.3189655172414,52.463793103448275,22.78965517241379,459.0258620689655,52.542068965517245,22.739310344827583,422.86206896551727,49.27172413793103,24.771206896551725,448.36842105263156,49.47754385964912,24.11684210526316,343.4824561403509,50.055789473684214,23.634736842105266,179.41379310344828,50.37655172413793,23.31948275862069,535.4732142857143,49.03214285714286,24.485714285714288,586.9051724137931,49.935344827586206,24.37258620689655,560.8508771929825,46.490526315789474,25.27315789473684,402.1551724137931,55.28913793103448,22.205000000000002,517.6315789473684,53.50438596491228,22.90824561403509,610.8620689655172,50.35724137931035,24.035689655172412
2013-08-23 23:10:00,500.45010288065845,49.112500000000004,25.578549382716044,490.1458333333333,52.65116666666667,22.75316666666667,471.8333333333333,52.655,22.73025,421.27916666666664,49.36625,24.68433333333333,461.26666666666665,49.692083333333336,24.049083333333332,350.2083333333333,50.06133333333334,23.641333333333332,200.65833333333333,50.51508333333333,23.313750000000002,526.7125,49.115750000000006,24.40925,578.2333333333333,49.9505,24.3435,584.6291666666667,46.45175,25.306166666666666,414.8375,55.402,22.19325,529.8833333333333,53.51924999999999,22.919083333333333,642.5333333333333,50.44075,24.08966666666667
2013-08-23 23:20:00,500.011316872428,49.125,25.570432098765426,501.52916666666664,52.8525,22.688166666666667,485.0625,52.706,22.72416666666667,425.30833333333334,49.47266666666667,24.56608333333333,472.90416666666664,49.955333333333336,23.94375,361.44166666666666,50.06266666666667,23.652916666666666,213.94583333333333,50.62616666666667,23.275666666666666,518.5541666666667,49.28958333333333,24.283,524.925,49.84425,24.255166666666664,593.5708333333333,46.37533333333333,25.32016666666667,428.3375,55.478500000000004,22.17941666666667,539.0375,53.51425,22.9335,692.6541666666667,50.4095,24.18391666666667
2013-08-23 23:30:00,499.5725308641976,49.1375,25.562314814814812,508.475,53.09016666666666,22.626666666666665,492.50416666666666,52.81425,22.71033333333333,429.9583333333333,49.675,24.43616666666667,479.71666666666664,50.254083333333334,23.833750000000002,366.34166666666664,50.079,23.65975,212.65833333333333,50.75933333333333,23.242666666666665,516.7958333333333,49.49,24.163583333333335,520.1282051282051,49.9865811965812,24.13769230769231,604.0625,46.4195,25.307916666666664,433.7625,55.591499999999996,22.168833333333335,548.4916666666667,53.54025,22.941750000000003,698.2958333333333,50.230916666666666,24.277833333333334
2013-08-23 23:40:00,499.1337448559671,49.15,25.554197530864194,503.6375,53.20325,22.584416666666666,486.6125,52.85758333333333,22.697583333333334,432.7625,49.89183333333333,24.351166666666664,480.28333333333336,50.55233333333333,23.693083333333334,372.34166666666664,50.11116666666667,23.661416666666664,222.04166666666666,50.822583333333334,23.2365,516.4291666666667,49.72575,24.035,511.6848739495798,50.199075630252096,23.988487394957986,604.7375,46.40508333333333,25.271,434.3655462184874,55.62689075630252,22.15941176470588,551.4416666666667,53.52708333333333,22.958250000000003,699.7375,50.09708333333333,24.34058333333333
2013-08-23 23:50:00,498.69495884773664,49.1625,25.546080246913576,489.6625,53.227999999999994,22.5425,468.9,52.7605,22.719333333333335,426.7125,49.94841666666666,24.288166666666665,465.6125,50.794333333333334,23.56625,372.64166666666665,50.09133333333333,23.656,209.67083333333332,50.756,23.249000000000002,505.2916666666667,49.903666666666666,23.927000000000003,499.40833333333336,50.41441666666666,23.846999999999998,593.9,46.40441666666666,25.22233333333333,418.4875,55.59525,22.14925,543.7584745762712,53.45457627118643,22.971525423728814,684.3833333333333,49.89566666666666,24.404
2013-08-24 00:00:00,498.2561728395062,49.175000000000004,25.537962962962958,491.3208333333333,53.41883333333333,22.50583333333333,471.075,52.79675,22.730083333333333,423.55833333333334,50.13008333333333,24.21691666666667,466.4458333333333,51.13699999999999,23.476083333333335,373.05,50.12166666666667,23.65,205.56666666666666,50.83899999999999,23.22008333333333,497.30833333333334,50.12416666666666,23.825083333333332,499.7416666666667,50.744749999999996,23.738,594.2416666666667,46.547000000000004,25.171166666666668,419.4,55.660250000000005,22.15191666666667,544.5666666666667,53.4405,22.984166666666667,688.975,49.774750000000004,24.46475
2013-08-24 00:10:00,497.81738683127577,49.1875,25.529845679012343,489.225,53.532083333333325,22.476583333333334,469.03333333333336,52.809,22.732666666666667,426.21666666666664,50.51075,24.13741666666667,462.8833333333333,51.385666666666665,23.392916666666668,373.0416666666667,50.135999999999996,23.643250000000002,198.3,50.93725,23.174500000000002,488.475,50.31883333333334,23.74775,492.6125,50.994416666666666,23.642583333333334,592.8791666666667,46.618,25.13925,415.2583333333333,55.7115,22.137083333333333,540.4125,53.43325,22.994833333333336,676.9208333333333,49.63008333333333,24.506916666666665
2013-08-24 00:20:00,497.3786008230453,49.2,25.521728395061725,486.04583333333335,53.56675,22.462666666666667,460.425,52.79675,22.731416666666668,395.42083333333335,50.80683333333333,24.02991666666667,455.30833333333334,51.49308333333333,23.377499999999998,368.84166666666664,50.160999999999994,23.63883333333333,193.47916666666666,50.973499999999994,23.155916666666666,483.2416666666667,50.48566666666667,23.677,490.2583333333333,51.17375,23.574749999999998,591.0083333333333,46.687083333333334,25.103583333333333,411.0625,55.71525,22.1355,536.3416666666667,53.41,23.002666666666666,668.5625,49.477833333333336,24.558916666666665
2013-08-24 00:30:00,496.93981481481484,49.2125,25.513611111111107,477.90833333333336,53.58125,22.443833333333334,463.325,52.74316666666667,22.737416666666665,382.45,51.15566666666666,23.926499999999997,453.34166666666664,51.519999999999996,23.365083333333335,366.8041666666667,50.1625,23.63075,194.22083333333333,50.9925,23.14,476.65,50.632,23.60725,487.30833333333334,51.30491666666667,23.519333333333336,584.0041666666667,46.74175,25.065749999999998,408.5375,55.69050000000001,22.145500000000002,530.7416666666667,53.36675,23.014916666666668,654.9791666666666,49.3135,24.593083333333333
