,0
0,441.43
1,441.43
2,440.75
3,438.59
4,436.49
5,434.02
6,434.01
7,435.03
8,434.45
9,437.17
10,438.07
11,440.04
12,439.96
13,436.37
14,436.37
15,436.44
16,432.03
17,433.7
18,437.0
19,436.3
20,436.95
21,437.49
22,435.73
23,439.1
24,439.3
25,439.07
26,438.89
27,436.58
28,436.58
29,437.92
30,438.38
31,438.05
32,437.6
33,436.92
34,435.93
35,435.93
36,436.12
37,438.03
38,442.08
39,438.69
40,440.85
41,440.8
42,440.38
43,440.38
44,437.32
45,437.12
46,435.45
47,438.13
48,438.52
49,436.79
50,437.28
51,437.48
52,436.07
53,438.29
54,437.96
55,439.53
56,437.17
57,437.17
58,437.17
59,435.87
60,436.96
61,436.92
62,437.68
63,436.82
64,438.17
65,437.41
66,437.85
67,437.85
68,439.86
69,436.54
70,438.43
71,438.43
72,442.32
73,443.16
74,442.77
75,442.77
76,442.77
77,442.77
78,442.77
79,446.86
80,445.96
81,444.08
82,442.34
83,441.75
84,443.44
85,443.44
86,442.82
87,443.99
88,444.15
89,443.81
90,443.62
91,444.59
92,442.38
93,443.62
94,443.28
95,443.55
96,447.54
97,444.76
98,446.62
99,447.68
100,444.6
101,444.6
102,441.69
103,439.01
104,439.79
105,439.64
106,442.11
107,440.94
108,442.52
109,441.9
110,441.12
111,442.43
112,441.55
113,439.76
114,437.63
115,439.38
116,439.38
117,438.9
118,438.45
119,439.45
120,436.6
121,438.27
122,440.94
123,440.87
124,441.95
125,443.13
126,442.16
127,442.74
128,442.44
129,444.1
130,444.1
131,444.1
132,446.65
133,447.55
134,449.71
135,448.17
136,449.43
137,449.76
138,449.76
139,449.76
140,444.22
141,445.16
142,444.2
143,444.26
144,444.26
145,442.53
146,443.06
147,442.8
148,442.23
149,442.23
150,444.31
151,445.11
152,442.92
153,440.44
154,439.12
155,439.12
156,439.12
157,439.12
158,447.32
159,445.93
160,446.28
161,445.43
162,443.74
163,446.08
164,441.63
165,443.86
166,442.42
167,441.74
168,441.49
169,439.46
170,438.37
171,438.37
172,435.06
173,435.06
174,435.59
175,436.77
176,436.42
177,436.05
178,437.66
179,439.33
180,441.3
181,439.47
182,439.82
183,438.57
184,437.97
185,436.24
186,436.4
187,436.5
188,434.79
189,434.79
190,434.77
191,437.56
192,439.51
193,440.65
194,439.86
195,439.25
196,434.92
197,430.83
198,430.31
199,431.67
200,434.3
201,436.04
202,438.62
203,438.62
204,438.93
205,437.31
206,438.2
207,438.05
208,436.86
209,434.36
210,434.5
211,433.15
212,432.23
213,434.22
214,433.48
215,434.41
216,433.55
217,433.55
218,434.88
219,435.45
220,436.26
221,436.73
222,435.77
223,434.0
224,436.61
225,433.66
226,434.42
227,436.84
228,437.52
229,435.26
230,432.29
231,433.61
232,433.61
233,435.83
234,437.39
235,440.15
236,443.09
237,445.82
238,445.0
239,443.0
240,439.72
241,438.02
242,438.38
243,439.12
244,437.56
245,435.15
246,435.15
247,433.49
248,429.99
249,428.5
250,429.91
251,430.32
252,431.25
253,431.65
254,437.84
255,440.25
256,443.63
257,441.52
258,439.12
259,439.39
260,439.39
261,437.46
262,438.32
263,439.66
264,439.98
265,441.22
266,441.86
267,440.22
268,435.62
269,432.39
270,431.71
271,432.78
272,430.21
273,430.21
274,428.14
275,431.53
276,429.32
277,429.47
278,429.52
279,431.52
280,429.05
281,428.89
282,427.81
283,430.06
284,431.72
285,431.54
286,432.8
287,434.37
288,434.37
289,436.27
290,434.45
291,434.65
292,435.96
293,437.76
294,439.6
295,439.52
296,439.65
297,437.41
298,438.03
299,437.61
300,440.39
301,444.7
302,447.73
303,447.73
304,447.73
305,448.64
306,447.4
307,446.23
308,446.2
309,447.95
310,444.31
311,445.11
312,444.87
313,444.09
314,446.78
315,446.29
316,445.9
317,445.54
318,446.8
319,446.8
320,445.88
321,444.83
322,445.45
323,444.88
324,446.64
325,444.69
326,444.83
327,443.28
328,443.53
329,443.48
330,444.03
331,443.61
332,442.18
333,442.18
334,443.12
335,442.18
336,440.54
337,438.6
338,436.01
339,434.17
340,431.67
341,431.79
342,433.42
343,434.57
344,435.36
345,436.98
346,435.27
347,438.19
348,438.19
349,441.52
350,441.13
351,439.33
352,440.87
353,438.56
354,437.21
355,440.56
356,442.28
357,444.7
358,444.02
359,443.55
360,442.48
361,442.27
362,442.27
363,442.6
364,441.06
365,439.51
366,442.36
367,442.89
368,442.76
369,442.42
370,442.41
371,443.18
372,443.18
373,443.74
374,445.98
375,444.12
376,444.69
377,444.69
378,440.8
379,437.37
380,436.83
381,437.36
382,436.83
383,437.36
384,436.95
385,439.89
386,438.07
387,436.29
388,436.04
389,438.12
390,437.48
391,437.48
392,439.64
393,439.77
394,438.76
395,439.69
396,436.82
397,437.02
398,434.74
399,434.91
400,436.76
401,435.32
402,432.21
403,429.81
404,429.81
405,428.83
406,430.08
407,430.51
408,433.49
409,434.58
410,436.62
411,435.3
412,436.0
413,435.55
414,434.82
415,436.58
416,438.01
417,437.93
418,438.99
419,438.99
420,437.75
421,438.47
422,438.91
423,435.92
424,435.92
425,438.96
426,438.71
427,439.95
428,437.12
429,433.5
430,431.45
431,433.1
432,433.39
433,435.76
434,435.76
435,435.73
436,433.88
437,432.89
438,431.94
439,430.81
440,432.47
441,431.51
442,430.37
443,432.63
444,432.09
445,431.71
446,430.87
447,431.27
448,432.17
449,432.17
450,431.56
451,431.27
452,433.17
453,433.45
454,430.4
455,427.96
456,426.27
457,427.21
458,429.47
459,432.64
460,432.31
461,430.29
462,430.32
463,430.32
464,430.28
465,430.4
466,432.65
467,434.32
468,432.59
469,430.32
470,429.78
471,431.42
472,430.16
473,431.57
474,435.19
475,436.6
476,437.21
477,438.14
478,438.14
479,437.01
480,438.12
481,436.2
482,435.94
483,435.96
484,436.22
485,437.23
486,438.64
487,439.66
488,439.33
489,437.54
490,437.61
491,440.57
492,441.91
493,441.91
494,440.93
495,437.59
496,435.57
497,436.84
498,436.68
499,438.12
500,438.95
501,440.58
502,441.04
503,441.56
504,443.86
505,441.12
506,440.72
507,440.72
508,441.81
509,441.54
510,442.57
511,445.84
512,445.77
513,445.14
514,446.27
515,444.75
516,445.47
517,443.58
518,440.53
519,440.53
520,440.53
521,440.53
522,434.54
523,436.05
524,435.15
525,438.12
526,442.65
527,440.17
528,438.74
529,440.7
530,442.03
531,443.04
532,443.37
533,443.02
534,443.02
535,443.02
536,442.92
537,441.37
538,441.37
539,441.37
540,441.37
541,435.67
542,434.99
543,434.99
544,435.05
545,433.78
546,432.49
547,432.89
548,432.47
549,432.47
550,431.22
551,432.74
552,433.58
553,434.72
554,435.05
555,436.72
556,436.14
557,436.12
558,437.84
559,436.94
560,435.19
561,431.6
562,430.41
563,430.41
564,426.92
565,424.47
566,425.35
567,426.4
568,427.43
569,427.3
570,428.12
571,428.16
572,427.56
573,430.62
574,428.19
575,425.83
576,425.09
577,427.11
578,427.11
579,431.64
580,430.48
581,431.3
582,430.14
583,431.15
584,428.72
585,428.56
586,428.03
587,427.94
588,431.13
589,432.5
590,429.3
591,429.57
592,429.46
593,429.46
594,428.97
595,430.2
596,428.98
597,428.53
598,428.22
599,427.27
600,427.01
601,427.78
602,428.55
603,428.37
604,433.04
605,434.28
606,436.05
607,436.05
608,435.85
609,432.04
610,428.47
611,427.47
612,427.76
613,424.77
614,423.93
615,423.73
616,424.42
617,423.56
618,425.31
619,426.17
620,426.51
621,429.71
622,429.71
623,433.15
624,433.27
625,435.62
626,438.75
627,438.36
628,436.2
629,435.38
630,438.19
631,440.94
632,442.45
633,441.32
634,437.27
635,434.44
636,434.44
637,432.29
638,430.63
639,428.42
640,428.51
641,429.82
642,428.16
643,428.22
644,428.92
645,429.61
646,431.39
647,430.16
648,432.37
649,434.25
650,434.25
651,430.65
652,430.75
653,431.83
654,430.63
655,429.09
656,428.43
657,427.12
658,426.36
659,427.29
660,427.59
661,426.44
662,426.28
663,429.5
664,429.5
665,426.65
666,426.63
667,426.18
668,425.19
669,426.35
670,426.07
671,426.42
672,427.67
673,430.29
674,432.08
675,430.93
676,432.95
677,431.08
678,431.08
679,430.71
680,426.79
681,424.07
682,426.78
683,424.9
684,424.99
685,426.37
686,427.51
687,427.88
688,430.75
689,431.01
690,432.99
691,430.73
692,430.73
693,430.73
694,430.37
695,430.62
696,430.78
697,433.32
698,434.05
699,433.32
700,433.06
701,431.34
702,431.07
703,430.95
704,431.04
705,431.82
706,431.82
707,432.02
708,432.53
709,433.02
710,432.36
711,431.32
712,432.19
713,434.41
714,436.28
715,437.08
716,438.97
717,441.25
718,441.96
719,444.14
720,444.14
721,443.35
722,443.75
723,438.73
724,438.47
725,434.63
726,433.88
727,434.58
728,432.77
729,433.64
730,435.62
731,435.45
732,438.02
733,439.25
734,436.99
735,436.99
736,437.63
737,436.65
738,436.16
739,436.96
740,435.64
741,435.76
742,433.56
743,430.9
744,432.9
745,435.87
746,438.99
747,439.09
748,439.09
749,439.5
750,438.54
751,437.33
752,436.38
753,434.52
754,436.5
755,436.73
756,438.47
757,440.11
758,441.31
759,440.44
760,439.75
761,439.82
762,439.88
763,439.88
764,439.25
765,440.08
